county,county_fips,state_id,state_name,lat,lng,population
Los Angeles,6037,CA,California,34.3209,-118.2247,10040682
Cook,17031,IL,Illinois,41.8401,-87.8168,5169517
Harris,48201,TX,Texas,29.8578,-95.3936,4680609
Maricopa,4013,AZ,Arizona,33.349,-112.4915,4412779
San Diego,6073,CA,California,33.0343,-116.735,3323970
Orange,6059,CA,California,33.7031,-117.7609,3170345
Miami-Dade,12086,FL,Florida,25.6149,-80.5623,2705528
Dallas,48113,TX,Texas,32.7666,-96.7778,2622634
Kings,36047,NY,New York,40.6395,-73.9385,2576771
Riverside,6065,CA,California,33.7437,-115.9938,2437864
Queens,36081,NY,New York,40.7023,-73.8203,2270976
Clark,32003,NV,Nevada,36.2152,-115.0135,2228866
King,53033,WA,Washington,47.4902,-121.8052,2225064
San Bernardino,6071,CA,California,34.8414,-116.1785,2162532
Tarrant,48439,TX,Texas,32.7719,-97.2911,2077153
Bexar,48029,TX,Texas,29.4489,-98.52,1978826
Broward,12011,FL,Florida,26.1523,-80.4871,1942273
Santa Clara,6085,CA,California,37.2318,-121.6951,1924379
Wayne,26163,MI,Michigan,42.2819,-83.2822,1753059
Alameda,6001,CA,California,37.6469,-121.8888,1661584
New York,36061,NY,New York,40.7784,-73.9674,1629153
Middlesex,25017,MA,Massachusetts,42.4856,-71.3918,1605899
Philadelphia,42101,PA,Pennsylvania,40.0077,-75.1339,1581531
Sacramento,6067,CA,California,38.4493,-121.3443,1537948
Palm Beach,12099,FL,Florida,26.6476,-80.4655,1482057
Suffolk,36103,NY,New York,40.8686,-72.8448,1481364
Hillsborough,12057,FL,Florida,27.9292,-82.3092,1451358
Bronx,36005,NY,New York,40.85,-73.8661,1427056
Orange,12095,FL,Florida,28.5144,-81.3235,1373784
Nassau,36059,NY,New York,40.7328,-73.5865,1355683
Franklin,39049,OH,Ohio,39.9695,-83.0093,1304715
Oakland,26125,MI,Michigan,42.6604,-83.3858,1255340
Hennepin,27053,MN,Minnesota,45.0045,-93.477,1255296
Travis,48453,TX,Texas,30.3344,-97.782,1250884
Cuyahoga,39035,OH,Ohio,41.4243,-81.6586,1241475
Allegheny,42003,PA,Pennsylvania,40.4688,-79.9812,1218380
Fairfax,51059,VA,Virginia,38.8368,-77.277,1149439
Contra Costa,6013,CA,California,37.9191,-121.9277,1147788
Salt Lake,49035,UT,Utah,40.6673,-111.9236,1146215
Mecklenburg,37119,NC,North Carolina,35.2467,-80.8328,1095170
Wake,37183,NC,North Carolina,35.7903,-78.6503,1091662
Fulton,13121,GA,Georgia,33.7903,-84.467,1051550
Montgomery,24031,MD,Maryland,39.1363,-77.2042,1047661
Pima,4019,AZ,Arizona,32.0974,-111.7899,1038476
Collin,48085,TX,Texas,33.188,-96.5724,1006038
St. Louis,29189,MO,Missouri,38.6407,-90.4434,996179
Fresno,6019,CA,California,36.7582,-119.6493,990204
Honolulu,15003,HI,Hawaii,21.5008,-158.1053,979682
Pinellas,12103,FL,Florida,27.9199,-82.7256,970985
Westchester,36119,NY,New York,41.1624,-73.7561,968738
Marion,18097,IN,Indiana,39.7817,-86.1385,957337
Milwaukee,55079,WI,Wisconsin,43.0072,-87.9669,949180
Duval,12031,FL,Florida,30.3316,-81.6708,948651
Fairfield,9001,CT,Connecticut,41.2711,-73.3893,944306
Shelby,47157,TN,Tennessee,35.1842,-89.894,936611
Bergen,34003,NJ,New Jersey,40.9597,-74.0742,931275
Gwinnett,13135,GA,Georgia,33.9617,-84.0236,926414
DuPage,17043,IL,Illinois,41.852,-88.0856,926005
Erie,36029,NY,New York,42.7639,-78.7323,918873
Prince George's,24033,MD,Maryland,38.8295,-76.8473,910551
Kern,6029,CA,California,35.3426,-118.7301,892458
Hartford,9003,CT,Connecticut,41.8064,-72.7329,892153
Pierce,53053,WA,Washington,47.0241,-122.1046,891862
San Francisco,6075,CA,California,37.7558,-122.4449,874784
Macomb,26099,MI,Michigan,42.6957,-82.9323,870893
Denton,48121,TX,Texas,33.2055,-97.1168,861690
Hidalgo,48215,TX,Texas,26.3967,-98.1811,861137
New Haven,9009,CT,Connecticut,41.4106,-72.9321,855733
Ventura,6111,CA,California,34.4561,-119.0836,845599
El Paso,48141,TX,Texas,31.7686,-106.2348,836915
Baltimore,24005,MD,Maryland,39.4627,-76.6393,828193
Montgomery,42091,PA,Pennsylvania,40.2108,-75.3673,827180
Worcester,25027,MA,Massachusetts,42.3514,-71.9077,826655
Middlesex,34023,NJ,New Jersey,40.4392,-74.4117,825015
Hamilton,39061,OH,Ohio,39.1955,-84.5428,815790
Snohomish,53061,WA,Washington,48.0475,-121.6975,811572
Multnomah,41051,OR,Oregon,45.5468,-122.4148,809869
Suffolk,25025,MA,Massachusetts,42.3334,-71.0719,801162
Essex,34013,NJ,New Jersey,40.7872,-74.2471,798698
Oklahoma,40109,OK,Oklahoma,35.5515,-97.4072,792668
Fort Bend,48157,TX,Texas,29.5275,-95.7709,790892
Essex,25009,MA,Massachusetts,42.6732,-70.952,787038
Jefferson,21111,KY,Kentucky,38.1872,-85.6591,768419
San Mateo,6081,CA,California,37.4229,-122.329,765623
Cobb,13067,GA,Georgia,33.9415,-84.5767,756653
Lee,12071,FL,Florida,26.5779,-81.8337,756570
DeKalb,13089,GA,Georgia,33.7715,-84.2264,755287
San Joaquin,6077,CA,California,37.9348,-121.2714,751615
Monroe,36055,NY,New York,43.1464,-77.6961,743084
Denver,8031,CO,Colorado,39.762,-104.8758,715878
El Paso,8041,CO,Colorado,38.8321,-104.5255,710499
Polk,12105,FL,Florida,27.9489,-81.6977,705735
Norfolk,25021,MA,Massachusetts,42.1605,-71.2114,703740
District of Columbia,11001,DC,District of Columbia,38.9047,-77.0163,701974
Jackson,29095,MO,Missouri,39.0085,-94.3461,700733
Lake,17097,IL,Illinois,42.3233,-88.0037,699682
Davidson,47037,TN,Tennessee,36.1695,-86.7847,690540
Will,17197,IL,Illinois,41.445,-87.9786,689704
Bernalillo,35001,NM,New Mexico,35.0514,-106.6702,679037
Hudson,34017,NJ,New Jersey,40.7371,-74.0779,671923
Jefferson,1073,AL,Alabama,33.5543,-86.8964,658615
Kent,26081,MI,Michigan,43.0322,-85.5493,652617
Tulsa,40143,OK,Oklahoma,36.1211,-95.9415,650291
Arapahoe,8005,CO,Colorado,39.6498,-104.3392,649980
Providence,44007,RI,Rhode Island,41.8721,-71.58,636161
Bucks,42017,PA,Pennsylvania,40.337,-75.1069,627668
Utah,49049,UT,Utah,40.1199,-111.6703,621506
Monmouth,34025,NJ,New Jersey,40.2603,-74.2213,620821
Baltimore,24510,MD,Maryland,39.3051,-76.6144,602274
Ocean,34029,NJ,New Jersey,39.8855,-74.2813,602018
Johnson,20091,KS,Kansas,38.8838,-94.8223,597574
Washington,41067,OR,Oregon,45.5601,-123.0983,595761
Brevard,12009,FL,Florida,28.2936,-80.7323,594001
Montgomery,48339,TX,Texas,30.3002,-95.503,590188
Jefferson,8059,CO,Colorado,39.5864,-105.2505,578795
Anne Arundel,24003,MD,Maryland,39.0065,-76.6051,575421
Williamson,48491,TX,Texas,30.6475,-97.6004,570437
Douglas,31055,NE,Nebraska,41.2954,-96.1543,565739
Delaware,42045,PA,Pennsylvania,39.9167,-75.3991,565328
Bristol,25005,MA,Massachusetts,41.7972,-71.1144,563301
New Castle,10003,DE,Delaware,39.5768,-75.6527,558306
Union,34039,NJ,New Jersey,40.6601,-74.3087,555208
Ramsey,27123,MN,Minnesota,45.0171,-93.0996,546598
Stanislaus,6099,CA,California,37.5591,-120.9977,546235
Volusia,12127,FL,Florida,29.0583,-81.1819,546107
Lancaster,42071,PA,Pennsylvania,40.0424,-76.2477,543050
Dane,55025,WI,Wisconsin,43.0673,-89.4181,542459
Summit,39153,OH,Ohio,41.126,-81.5322,540810
Pasco,12101,FL,Florida,28.3091,-82.3932,539885
Guilford,37081,NC,North Carolina,36.0795,-79.7889,532956
Montgomery,39113,OH,Ohio,39.7547,-84.2907,531988
Kane,17089,IL,Illinois,41.9388,-88.4286,531756
Chester,42029,PA,Pennsylvania,39.9731,-75.7484,521980
Plymouth,25023,MA,Massachusetts,41.9512,-70.8114,518597
Greenville,45045,SC,South Carolina,34.8941,-82.3706,516126
Sedgwick,20173,KS,Kansas,37.6848,-97.461,515416
Spokane,53063,WA,Washington,47.6207,-117.404,513402
Adams,8001,CO,Colorado,39.8737,-104.3379,509844
Camden,34007,NJ,New Jersey,39.8035,-74.9597,506721
Passaic,34031,NJ,New Jersey,41.0343,-74.3008,502763
Sonoma,6097,CA,California,38.5289,-122.8881,496801
Morris,34027,NJ,New Jersey,40.862,-74.5445,492715
Lake,18089,IN,Indiana,41.4167,-87.3821,485983
Polk,19153,IA,Iowa,41.6855,-93.5735,485418
Clark,53011,WA,Washington,45.7791,-122.4826,481950
Richmond,36085,NY,New York,40.5808,-74.1524,475596
Ada,16001,ID,Idaho,43.4511,-116.2412,469473
Prince William,51153,VA,Virginia,38.7029,-77.4809,466834
Seminole,12117,FL,Florida,28.717,-81.2363,466695
Hampden,25013,MA,Massachusetts,42.1351,-72.6316,466647
Knox,47093,TN,Tennessee,35.9932,-83.9371,466184
Washoe,32031,NV,Nevada,40.6656,-119.6643,464182
Tulare,6107,CA,California,36.2202,-118.8005,463955
Onondaga,36067,NY,New York,43.0058,-76.1946,461591
Virginia Beach,51810,VA,Virginia,36.7335,-76.0435,450882
York,42133,PA,Pennsylvania,39.92,-76.7265,447628
Pinal,4021,AZ,Arizona,32.9044,-111.3448,447559
Burlington,34005,NJ,New Jersey,39.8777,-74.6681,446301
Santa Barbara,6083,CA,California,34.6729,-120.0169,444895
Solano,6095,CA,California,38.27,-121.9329,444538
East Baton Rouge,22033,LA,Louisiana,30.5383,-91.0956,443158
Jefferson,22051,LA,Louisiana,29.7872,-90.1274,434903
Monterey,6053,CA,California,36.2171,-121.2388,432977
Lucas,39095,OH,Ohio,41.6197,-83.659,430319
Sarasota,12115,FL,Florida,27.1845,-82.3315,427766
Dakota,27037,MN,Minnesota,44.6719,-93.0654,425271
Cameron,48061,TX,Texas,26.1333,-97.5182,422135
Berks,42011,PA,Pennsylvania,40.4163,-75.926,419062
Hillsborough,33011,NH,New Hampshire,42.9153,-71.7161,415305
Clackamas,41005,OR,Oregon,45.188,-122.2209,415084
Richland,45079,SC,South Carolina,34.0218,-80.9031,414660
Mobile,1097,AL,Alabama,30.7872,-88.2058,413977
Charleston,45019,SC,South Carolina,32.8346,-79.9531,407543
Genesee,26049,MI,Michigan,43.0217,-83.7067,406770
Loudoun,51107,VA,Virginia,39.0907,-77.6357,405312
Waukesha,55133,WI,Wisconsin,43.0182,-88.3045,402637
St. Charles,29183,MO,Missouri,38.782,-90.6749,398472
Manatee,12081,FL,Florida,27.4719,-82.3153,393847
Pulaski,5119,AR,Arkansas,34.77,-92.312,393078
Placer,6061,CA,California,39.0634,-120.7177,391799
Orleans,22071,LA,Louisiana,30.0687,-89.9288,391249
Butler,39017,OH,Ohio,39.4386,-84.5756,382129
Orange,36071,NY,New York,41.4021,-74.3056,382077
Collier,12021,FL,Florida,26.1107,-81.3475,379345
Forsyth,37067,NC,North Carolina,36.1306,-80.2563,378499
Lane,41039,OR,Oregon,43.9387,-122.8479,377749
Allen,18003,IN,Indiana,41.0909,-85.0666,375520
Stark,39151,OH,Ohio,40.8139,-81.3656,371516
Washtenaw,26161,MI,Michigan,42.2532,-83.8388,368385
Mercer,34021,NJ,New Jersey,40.2834,-74.7018,368085
Brazoria,48039,TX,Texas,29.1897,-95.4521,368062
Madison,1089,AL,Alabama,34.7631,-86.5502,367686
Lehigh,42077,PA,Pennsylvania,40.6127,-75.5924,367338
Hamilton,47065,TN,Tennessee,35.1808,-85.1648,364718
Osceola,12097,FL,Florida,28.0626,-81.1495,363666
Nueces,48355,TX,Texas,27.7254,-97.6134,362151
Marion,12083,FL,Florida,29.2102,-82.0567,360210
Lake,12069,FL,Florida,28.7615,-81.7113,356115
Bell,48027,TX,Texas,31.0373,-97.4788,355700
Anoka,27003,MN,Minnesota,45.2733,-93.2465,353775
Davis,49011,UT,Utah,40.99,-112.1115,350761
Westmoreland,42129,PA,Pennsylvania,40.3109,-79.4668,350722
Larimer,8069,CO,Colorado,40.6664,-105.4612,350523
Chesterfield,51041,VA,Virginia,37.3785,-77.587,348500
Douglas,8035,CO,Colorado,39.3297,-104.9296,344280
Horry,45051,SC,South Carolina,33.9214,-78.9966,344186
Marion,41047,OR,Oregon,44.9033,-122.5846,343742
Galveston,48167,TX,Texas,29.3945,-94.9635,337600
Cumberland,37051,NC,North Carolina,35.0487,-78.8277,334562
Hamilton,18057,IN,Indiana,40.0725,-86.052,330455
Somerset,34035,NJ,New Jersey,40.5635,-74.6163,330151
Henrico,51087,VA,Virginia,37.538,-77.4058,330076
Rockland,36087,NY,New York,41.1524,-74.0241,325213
Boulder,8013,CO,Colorado,40.0925,-105.3577,324682
Rutherford,47149,TN,Tennessee,35.8427,-86.4167,324139
Howard,24027,MD,Maryland,39.2507,-76.9312,322407
Fayette,21067,KY,Kentucky,38.0423,-84.4587,322200
St. Lucie,12111,FL,Florida,27.3772,-80.472,320914
Durham,37063,NC,North Carolina,36.036,-78.8766,317665
Luzerne,42079,PA,Pennsylvania,41.177,-75.9891,317547
Escambia,12033,FL,Florida,30.669,-87.363,316691
Lancaster,31109,NE,Nebraska,40.7842,-96.6878,315976
Weld,8123,CO,Colorado,40.5548,-104.3925,315389
Spartanburg,45083,SC,South Carolina,34.9309,-81.9908,313791
Lorain,39093,OH,Ohio,41.2956,-82.151,309134
Lubbock,48303,TX,Texas,33.6102,-101.8205,308392
Rockingham,33015,NH,New Hampshire,42.9876,-71.1254,308211
McHenry,17111,IL,Illinois,42.3244,-88.4523,307291
Albany,36001,NY,New York,42.6002,-73.9736,306165
St. Louis,29510,MO,Missouri,38.6359,-90.2451,304709
Northampton,42095,PA,Pennsylvania,40.7542,-75.3076,304233
Lexington,45063,SC,South Carolina,33.9023,-81.2722,295033
Cumberland,23005,ME,Maine,43.8465,-70.399,294520
Dutchess,36027,NY,New York,41.7651,-73.7429,293524
Anchorage,2020,AK,Alaska,61.1508,-149.1091,292090
Leon,12073,FL,Florida,30.458,-84.2779,291863
Gloucester,34015,NJ,New Jersey,39.7173,-75.1414,291745
Greene,29077,MO,Missouri,37.258,-93.342,291574
Ingham,26065,MI,Michigan,42.5971,-84.3735,290923
Chatham,13051,GA,Georgia,32.0043,-81.1329,289649
Ottawa,26139,MI,Michigan,42.9598,-85.9961,289162
Clayton,13063,GA,Georgia,33.5419,-84.3577,287560
Thurston,53067,WA,Washington,46.9258,-122.8332,284698
Winnebago,17201,IL,Illinois,42.3363,-89.1609,283635
San Luis Obispo,6079,CA,California,35.3871,-120.4044,282517
Cleveland,40027,OK,Oklahoma,35.2031,-97.3265,282189
Dauphin,42043,PA,Pennsylvania,40.4154,-76.7795,277071
Webb,48479,TX,Texas,27.7611,-99.3316,274847
York,45091,SC,South Carolina,34.9748,-81.1845,273887
Merced,6047,CA,California,37.1919,-120.7177,273661
Benton,5007,AR,Arkansas,36.3387,-94.2561,273510
Santa Cruz,6087,CA,California,37.0562,-122.0018,273170
Erie,42049,PA,Pennsylvania,41.9925,-80.0327,272046
St. Joseph,18141,IN,Indiana,41.6167,-86.2899,270881
Kitsap,53035,WA,Washington,47.613,-122.6716,268945
Alachua,12001,FL,Florida,29.6748,-82.3577,268105
